Date,Actual,LMD_ARIMA,LMD_SD_ARIMA_XGBoost
2021-06-08,70.11,68.89700327898333,114.93287627898334
2021-06-09,69.9,69.40949456763823,-24.857610432361767
2021-06-10,70.34,70.11733927314341,-17.906650726856583
2021-06-11,71.0,70.57998084034645,-18.02070915965355
2021-06-14,70.94,70.66293347837106,89.04034347837106
2021-06-15,72.06,70.74555204447871,-6.179007955521286
2021-06-16,72.03,71.55007156150506,117.85771956150506
2021-06-17,71.06,72.15598876168795,88.39492576168794
2021-06-18,71.64,71.90333708192763,76.39940008192764
2021-06-21,73.64,71.40806302879817,74.36155422879817
2021-06-22,73.15,72.03975161669612,-6.299668383303882
2021-06-23,73.11,73.23024609100386,13.200293091003864
2021-06-24,73.31,74.05137738946468,128.88035738946468
2021-06-25,74.21,73.52680342855069,159.27475842855068
2021-06-28,72.98,73.18808134719399,54.60177734719399
2021-06-29,73.14,73.21951985904748,95.65599785904749
2021-06-30,73.52,73.59779467693328,96.02775667693328
2021-07-01,75.33,73.43484778750289,80.3029660875029
2021-07-02,75.37,74.05718199472302,167.10242199472304
2021-07-06,73.62,75.16504021619369,66.55442921619368
2021-07-07,72.22,75.24426233901602,80.06468163901602
2021-07-08,72.98,73.46231519787955,80.18069919787955
2021-07-09,74.56,71.82805103039226,-96.46230896960773
2021-07-12,74.21,72.62282309871381,76.5411808987138
2021-07-13,75.24,74.65053540030232,275.9361954003023
2021-07-14,73.06,76.0325443160611,160.7927043160611
2021-07-15,71.67,74.4183985615748,-88.5896914384252
2021-07-16,71.76,71.98380743004668,-41.66548256995331
2021-07-19,66.45,70.8153086744012,-82.9419213255988
2021-07-20,67.32,68.8673611170741,-186.7733588829259
2021-07-21,70.26,67.62942561940531,91.17565961940531
2021-07-22,72.15,67.63341444617299,233.607994446173
2021-07-23,72.24,70.32850701160442,239.6674670116044
2021-07-26,72.15,73.38729094640348,-1.826454053596521
2021-07-27,71.68,73.76910956575557,-35.320720434244436
2021-07-28,72.37,71.72916881573883,37.79584881573883
2021-07-29,73.62,70.80938532430446,49.21490332430446
2021-07-30,73.93,72.4303164673729,22.807941467372906
2021-08-02,71.31,74.5302988471085,-26.683081152891504
2021-08-03,70.64,73.74619405194062,110.49747405194063
2021-08-04,68.19,71.09624073600571,-56.54798526399429
2021-08-05,69.1,68.08691910265179,202.93601910265178
