Date,Price,Stochastic,Deterministic
2018-07-16,68.22,95242.35437392394,-95174.1343739247
2018-07-17,68.03,-95584.03497732854,95652.0649773283
2018-07-18,68.78,-17032.733756087073,17101.51375608705
2018-07-19,69.42,36372.054261436904,-36302.63426143699
2018-07-20,70.31,-51002.39247267177,51072.70247267175
2018-07-23,67.9,-70773.43452490828,70841.33452490834
2018-07-24,70.77,1523.7358238701622,-1452.9658238701522
2018-07-25,71.13,-8418.133835965771,8489.263835965772
2018-07-26,71.59,-748.5918425016653,820.1818425016754
2018-07-27,68.66,951.6204713159849,-882.9604713159788
2018-07-30,71.19,-1670.2720018319562,1741.4620018319692
2018-07-31,69.88,-1551.19212755148,1621.0721275514807
